x	y
 3.8337757183899996e+01	 9.2472719050999999e+01
 3.5751870790500000e+01	 9.4116768027600003e+01
 3.2767217959100002e+01	 8.8518294579400006e+01
 3.3729606775500002e+01	 8.8622265788999997e+01
 3.7238249326999998e+01	 8.3724928414399997e+01
 3.6027198224300001e+01	 8.2040780650499997e+01
 3.9239280776800001e+01	 7.9263723839799994e+01
 3.9784524939099995e+01	 8.2260565896199992e+01
 3.5166029389599998e+01	 8.4156491983899997e+01
 4.0622115915999998e+01	 7.8542104208900000e+01
 3.9181907086000002e+01	 7.9819037197599997e+01
 4.2430888994400000e+01	 7.5133634640600008e+01
 4.3081255861700001e+01	 7.5346701641300001e+01
 4.4360719434399996e+01	 7.0474207054600001e+01
 4.4324778843500006e+01	 7.1045904401899989e+01
 4.7552160201999996e+01	 6.6460403721700004e+01
 4.8664924621499999e+01	 6.4961004943800006e+01
 4.6280631958000001e+01	 6.8028423152499997e+01
 5.0563244484899997e+01	 6.2623827965899999e+01
 5.2630964231800000e+01	 5.9963935791499999e+01
 5.4636206444599999e+01	 5.7493842436700000e+01
 5.1346027138999993e+01	 6.1600553036400001e+01
 5.7134855353999995e+01	 5.3877965804500001e+01
 5.4171241573700001e+01	 5.8059807895200002e+01
 5.0942382307099997e+01	 6.2097393935100001e+01
 6.6512924456000007e+01	 5.9071281847799995e+01
 6.4397909502299996e+01	 5.6174875400799998e+01
 6.8686593293999991e+01	 6.2237343990200003e+01
 6.5027793705699992e+01	 5.7096257352499997e+01
 5.3304503171199997e+01	 4.0883844549000003e+01
 5.2945178088100008e+01	 4.0384625694200004e+01
 4.5225738198999998e+01	 3.0555225922600002e+01
 5.0843304620200001e+01	 3.7744628098100002e+01
 4.9659293939799994e+01	 3.6273442735000003e+01
 4.7142788934799995e+01	 3.2025064173400004e+01
 4.1270056525900003e+01	 2.1721817146500001e+01
 4.7130127155499999e+01	 3.1309902922199999e+01
 4.0915971578300002e+01	 2.3541592392900000e+01
 3.8660163973700001e+01	 2.1689549636900001e+01
 4.2612550826200000e+01	 2.4195053774000002e+01
 4.1209039500799996e+01	 2.4128709189099997e+01
 5.0649221149900001e+01	 3.7483790743500002e+01
 5.2131901940600002e+01	 3.9364602081500003e+01
 3.9797271270500005e+01	 1.6083549649000002e+01
 4.3549881480699995e+01	 2.4307210939499999e+01
 3.6714663337099999e+01	 1.7381809857200000e+01
 3.7224610127800005e+01	 1.7980064482800000e+01
 4.0512447853699996e+01	 2.2962214572499999e+01
 4.0222062788400002e+01	 2.0614621704400001e+01
 4.4124961205699996e+01	 2.3366245285799998e+01
 4.2346261603899997e+01	 2.4558326943699999e+01
 4.4189084370799996e+01	 2.8772625473000002e+01
 4.5814245310100006e+01	 3.1056979671999997e+01
 4.6643119269099998e+01	 3.1407219061799999e+01
 5.2189888304700006e+01	 3.9367796493800000e+01
 5.1100317358699996e+01	 3.8095699983999999e+01
 6.5400834147700010e+01	 4.2614032039199998e+01
