x	y
 5.1203891137299998e+01	 8.3339776605300003e+01
 5.8974469901800006e+01	 8.5499817612000001e+01
 5.1872072669600001e+01	 8.5829737634799997e+01
 4.8179930786499995e+01	 8.5045116737200004e+01
 4.1683200402399997e+01	 8.4017940601899994e+01
 3.7890415501500001e+01	 8.2567492997800002e+01
 3.9548973694699995e+01	 8.0812601774000001e+01
 3.9649573876900000e+01	 8.2664533871299994e+01
 3.4750597047199996e+01	 8.0011090989700008e+01
 2.7560835291000000e+01	 7.2847825592700005e+01
 2.4635539975400000e+01	 7.1610714825599999e+01
 2.0959464812499998e+01	 6.6041498382599997e+01
 2.0689149053800001e+01	 6.2721305206400004e+01
 1.9288204736899999e+01	 6.2063059358200000e+01
 2.0024500574600001e+01	 6.1342623869499995e+01
 3.5469522997100000e+01	 4.3115884951700004e+01
 3.6894327650699999e+01	 4.7706555968700002e+01
 3.9055549775100005e+01	 5.5546973713100002e+01
 4.6957080149399992e+01	 6.5240407393500007e+01
 3.7310452735200002e+01	 4.5258750899900001e+01
 4.0009672001900000e+01	 6.0986582507700007e+01
 4.8014386684599998e+01	 6.5712819593399999e+01
 5.3703775926800006e+01	 6.6389482036299995e+01
 6.3067499892100003e+01	 6.4035000458100001e+01
 6.2048032507600006e+01	 6.3845863249399997e+01
 5.9839966712399999e+01	 6.4476764443700006e+01
 5.5160941817500003e+01	 6.5237308169399995e+01
 6.1279786579200000e+01	 6.5766402503999998e+01
 6.0834917534799999e+01	 6.4603769706300000e+01
 6.1520590645799999e+01	 6.4791855041800005e+01
 3.6916543863000001e+01	 4.1095247438299999e+01
 3.8502199671400000e+01	 4.1567155617399997e+01
 4.8664370734399995e+01	 3.0680666851900000e+01
 5.0285252404200001e+01	 3.0337922105100002e+01
 4.2276332666000002e+01	 3.4527636123600004e+01
 5.4031775620399998e+01	 2.9672348314899999e+01
 3.7329355255199999e+01	 3.9602042307399998e+01
 4.1389522550999999e+01	 3.7296056232800005e+01
 4.0074666657199998e+01	 3.4623685202700003e+01
 3.5349680621099999e+01	 4.7141073133199995e+01
 3.4763700418900001e+01	 4.7624799924499996e+01
 3.7026629447200001e+01	 4.4462293051200000e+01
 3.6455569532699997e+01	 4.0791843031999996e+01
 3.5537664213100001e+01	 4.8729386866099993e+01
 2.0408947889200000e+01	 3.2203030420499999e+01
 2.3495710465900000e+01	 2.5322468154199999e+01
 2.9557543363400001e+01	 2.1364777459100001e+01
 3.3008233912100003e+01	 1.5985071458399998e+01
 5.3980399182100001e+01	 2.9350986709200001e+01
 5.2234308600399999e+01	 2.9711672986500002e+01
 5.9503076606299999e+01	 3.0669673944800000e+01
 4.1163781068900001e+01	 3.4315758251399998e+01
 4.8993040120100005e+01	 3.2030358836300003e+01
 5.9269280324799993e+01	 2.9640701765399999e+01
 4.5469177003500000e+01	 3.3831192732300003e+01
 6.2691266540600004e+01	 3.0290373831200000e+01
 7.3428670865399994e+01	 4.8577855130299994e+01
 7.0846426106999999e+01	 5.2282253331000007e+01
 7.1539019849499994e+01	 4.5521806158800004e+01
 6.7620865888400004e+01	 3.8006558465799998e+01
 7.2470952563300003e+01	 5.1122134824100002e+01
 6.4812237562099995e+01	 6.2810915587299995e+01
 6.0853679872700006e+01	 6.5499147032700009e+01
 6.7789496157100004e+01	 6.1363701546700000e+01
 4.1609557269100002e+01	 8.3848686555900002e+01
 5.3003025320200003e+01	 8.4674798601199996e+01
 5.4714171059099996e+01	 8.4043128073399998e+01
 4.4291668715699998e+01	 8.2909441214399990e+01
 4.9191721955500000e+01	 8.5876229122399991e+01
 5.3101381781899995e+01	 8.4547658688100000e+01
 5.1599848153000003e+01	 8.4819821489799992e+01
 5.4379721948400004e+01	 8.4240355549399993e+01
 4.6480768104700005e+01	 8.3518211665999999e+01
 5.3174656268000000e+01	 8.4260567987599998e+01
 4.5272002941000004e+01	 8.5237079419499992e+01
 3.6033402150000001e+01	 5.3371687755000004e+01
 2.8271194165300003e+01	 7.2840231256999999e+01
 2.5054806084699997e+01	 7.1548597922100001e+01
 6.4758887001399998e+01	 8.2315223640500008e+01
 6.3144527476699999e+01	 8.5236696326400008e+01
 5.0424678689799997e+01	 8.5174747589099994e+01
 7.0644996262899994e+01	 8.2430918756699995e+01
 6.3149049083400001e+01	 8.3946855348500009e+01
 6.2824024517200002e+01	 8.4966185950699995e+01
 7.0236869514999995e+01	 8.2171151062099995e+01
 7.0042735244900001e+01	 8.0385021354700001e+01
 7.2570623445799995e+01	 8.0971218434600004e+01
 7.5130716037299990e+01	 7.9984093140300004e+01
 8.3293905734500001e+01	 7.0778431787599999e+01
 7.9664262277500001e+01	 7.3932309715700001e+01
 8.8432102525400012e+01	 6.4624247002299995e+01
 8.9115559008199995e+01	 6.4001506638799995e+01
 8.9092197630499996e+01	 5.7768193046999997e+01
 9.1726005772700006e+01	 5.2623353257299996e+01
 9.1735538759799994e+01	 4.8970210887700006e+01
 9.1507888174700000e+01	 5.3312652085100005e+01
 8.8239001903999991e+01	 3.1477434878600000e+01
 8.8530519204100003e+01	 3.0476031009800000e+01
 5.5365160336400002e+01	 3.0445850277700000e+01
 6.2560258869399995e+01	 3.0447135666100003e+01
 5.8006669122700004e+01	 3.0253721298700000e+01
 5.5067117991700002e+01	 2.9011535199699999e+01
 6.1614775961199996e+01	 2.9994391194200002e+01
 6.8543143537799992e+01	 3.5657832170600003e+01
 7.7706109648699993e+01	 2.0304260185200000e+01
 6.8453045999899999e+01	 1.3035528590799998e+01
 6.8257206440200008e+01	 1.2384639154200000e+01
 7.0255474673899997e+01	 1.3250384968900001e+01
 6.5044325277799999e+01	 1.1000841478499998e+01
 6.0092246607800000e+01	 1.1872111709300000e+01
 5.2992028966699998e+01	 9.9066684833499998e+00
 5.0144628977299995e+01	 1.2211543094600000e+01
 4.6508614193199996e+01	 1.1207134488099999e+01
 4.3807031961199996e+01	 1.1318944886500001e+01
 5.7817854686499999e+01	 1.0945142430599999e+01
 5.0940492659499995e+01	 9.6915471344699995e+00
 6.3497323083500007e+01	 1.1914069170699999e+01
 5.0016482954099999e+01	 1.1933852086400002e+01
 5.8636765080899998e+01	 1.1974721065200001e+01
 5.4730289086300004e+01	 1.1412882673199999e+01
 6.5875547802299991e+01	 1.1732436362700000e+01
 5.7060982713100003e+01	 9.9205608544399997e+00
 4.6819907946000001e+01	 1.0494652680400000e+01
 3.8359394872499998e+01	 1.3431322624000002e+01
 4.7315415777299997e+01	 1.2853451784000001e+01
 5.5051916539600001e+01	 1.1949988618099999e+01
 5.0515960257899998e+01	 9.7655916218699996e+00
 4.9677414651400007e+01	 1.0383132508300001e+01
 6.7280659518800007e+01	 1.4128651532300001e+01
 6.6173018260600003e+01	 1.2037917021700000e+01
 6.1088544137400000e+01	 1.0084534414400000e+01
 6.6053085773100008e+01	 1.3380226007300001e+01
