x	y
 3.2331110226599996e+01	 6.1411101248000001e+01
 5.3421462880699998e+01	 2.6186880387900000e+01
 6.3920202260000003e+01	 3.0832193916300000e+01
 7.0289505718699999e+01	 8.2533648587700000e+01
 3.4118830235700003e+01	 4.5734551320300000e+01
 6.7670716401199996e+01	 3.7110947969000001e+01
 5.3259129405500005e+01	 9.7475771096399995e+01
 6.3514980867100000e+01	 2.5100078578800002e+01
 6.7980538813300001e+01	 8.0957165219700002e+01
 6.7372465900500003e+01	 2.9720400203000001e+01
 1.5560749522900000e+01	 8.0065640285800001e+01
 7.1790767694199999e+01	 7.1065466662700004e+01
 7.0242546436200001e+01	 2.4109597554200001e+01
 6.4937435544399989e+01	 8.1554204994499997e+01
 6.2213524545299997e+01	 2.1475838996900002e+01
 6.7269400477200008e+01	 1.8708968372499999e+01
 4.0570197044600000e+01	 7.9372963475200009e+01
 7.4741181334100006e+01	 2.1101637204100001e+01
 7.1768318922299997e+01	 2.0011061842300002e+01
 7.6166919814300002e+01	 7.5936170404799995e+01
 6.5623657443100001e+01	 1.5582803353099999e+01
 5.0850633639399994e+01	 1.3987601630400000e+01
 3.3024070024899999e+01	 2.4467830387199999e+01
 3.9706326167400000e+01	 8.4275287103799997e+01
 4.5596484954200001e+01	 9.7633488494300007e+00
 4.2968046910399998e+01	 1.7945458396099998e+01
 5.2494406781899997e+01	 1.6051114200299999e+01
 4.6082275783100002e+01	 2.3110457815400000e+01
 7.4247708209199999e+01	 2.0314187812000000e+01
 6.4568264186299999e+01	 8.3639633895599999e+01
 7.4021693905799992e+01	 7.6128274507599997e+01
 6.2391180562599999e+01	 5.6230707607300010e+00
 7.4189036682999998e+01	 6.8133583222299990e+01
 2.8236781939600000e+01	 5.6139596451300001e+01
 7.5771938794400000e+01	 6.9829230032200002e+01
 7.5855229469099996e+01	 6.2517044286199997e+01
 6.5970857017499995e+01	 7.2744855995400002e+01
 2.1778040477899999e+01	 6.6166253072800005e+00
 6.7759796247300002e+01	 7.2421201528500006e+01
 7.8617195336300000e+01	 5.2575257314200002e+01
 6.8507708189799999e+01	 1.5456918965200000e+01
 7.4885021159799990e+01	 2.5416606323099998e+01
 6.6454903659899998e+01	 1.9836628654200002e+01
 7.7317802098500010e+01	 4.8398346435200004e+01
 5.8912460319300003e+01	 7.5667756217299996e+01
 5.7617447816999999e+01	 8.1948006031899983e+00
 7.6088225796700002e+01	 5.9679930023500006e+01
 5.7466050549700000e+01	 1.5044181748800001e+00
 7.9428383493400005e+01	 4.5210794287200002e+01
 7.6356522149599996e+01	 1.0418241128100000e+01
 6.4405075263199990e+01	 7.8584176075800002e+01
 4.0635041809099995e+01	 7.3394750369799993e+01
 4.3949864585699999e+01	 7.5958715667099995e+01
 3.0996220579099997e+01	 7.1694404938000005e+01
 6.8230768990700000e+01	 8.0872501662799991e+01
 7.2046389461199993e+01	 1.2918006734900001e+01
 4.6592767968200000e+01	 8.4972382777400000e+01
 4.9257218339600001e+01	 8.1881403230600000e+01
 4.2781761253900001e+01	 1.2991188430199999e+01
 6.5475952195000005e+01	 1.4274585644400000e+01
 7.1965082654399993e+01	 1.7710235944299999e+01
 3.2146462335800003e+01	 4.3481709442499998e+01
 3.1838497695400001e+01	 7.1812165390100006e+01
 3.1005258257199998e+01	 4.0682503007000001e+01
 8.0470894318900008e+01	 4.9502148346700004e+01
 7.1964167112200002e+01	 4.1874282666799999e+01
 7.8079421441700006e+01	 9.3133316765200007e+01
 4.1677595774799997e+01	 3.0201264084600002e+01
 6.5953595184999998e+01	 3.1147406083499998e+01
 6.2934459373100005e+01	 3.1916390699200001e+01
 6.4373797984399999e+01	 2.8862583406100001e+01
 7.2509328359899996e+01	 3.9540130252600001e+01
 3.0052289874099998e+01	 9.6617542353399998e+01
 2.8003324235400001e+01	 4.6672191954399999e+01
 7.5401226861900000e+01	 8.8639076620699996e+01
 3.8980015421799997e+01	 8.7322160691000008e+01
 6.5219913547900006e+01	 8.4682954933600001e+01
 7.3053989961599996e+01	 2.9380808557100000e+01
 3.4398361637199997e+01	 5.9544446903299999e+01
 4.3490450133600000e+01	 4.0782542065000001e+01
 5.5138737966999997e+01	 3.0725760357500000e+01
 4.3684393433300002e+01	 3.2823009869600000e+01
 3.5903609734400000e+01	 9.1111863080100008e+01
 4.5378018880500001e+01	 2.9169216654400000e+01
 3.9777482871300002e+01	 4.3755818949999998e+01
 3.8664461156900003e+01	 3.3317238477399997e+01
 3.9044036687700000e+01	 8.4676010831599996e+01
 9.1639961442800001e+01	 7.9406603060500004e+01
 4.7488132677099998e+01	 8.5389933380800002e+01
 4.4590212576899994e+01	 2.2034011641199999e+01
 3.9089614547800004e+01	 7.0466194080199998e+01
 4.2229378375200000e+01	 1.9914068407500000e+01
 3.7000387144800001e+01	 6.0264279248000001e+01
 3.9052086479300002e+01	 7.0652502845699999e+01
 3.7488414743200003e+01	 6.0814404851099994e+01
 6.9359559459200000e+01	 6.5521354595900007e+01
 4.3542775926000004e+01	 6.2460311282399999e+01
 3.9811230253900000e+01	 6.5334832809199995e+01
 7.0068925940399993e+01	 7.5934656089899990e+00
 7.0040543582399991e+01	 7.7143806602399991e+01
 3.9505789079000003e+01	 7.4851627217299992e+01
 6.2516890852899998e+01	 6.6484732241800003e+01
 7.2139925406499998e+01	 1.5119325155200002e-02
 4.5251576066600002e+01	 7.0003421319200001e+01
 4.2063304562699997e+01	 2.3351966120599998e+00
 3.6355695153900001e+01	 6.0058486496999999e+00
 3.0391827659600001e+01	 4.2759612869999998e+01
 3.6449003854299995e+01	 5.0546269065899999e+01
 4.0467576002000001e+01	 6.0027512087799998e+01
 8.1724616800200010e+01	 6.0375448463500003e+00
 4.8823197496400006e+01	 7.6635330578300000e+01
 3.5620561765100000e+01	 5.7286015578900006e+01
 5.0583963114799992e+01	 7.1806616101400010e+01
 6.1856465106300000e+01	 7.1792743164200004e+01
 3.9323756026200002e+01	 5.9300819665600002e+01
 4.2185679142900000e+01	 6.6034897823500003e+01
 3.0846918989799999e+01	 3.7341640104100001e+01
 2.9346200428099998e+01	 4.2148741831199999e+01
 8.2110557978299994e+01	 1.2105516629299999e+00
 3.8302005808800004e+01	 6.0017785793199998e+01
 5.6584153021800006e+01	 7.0512514808999995e+01
 3.3339374286500004e+01	 5.0910673520000005e-01
 7.8774239040699996e+01	 3.5484101214600003e+01
 2.7922644244600001e+01	 2.5986878184400002e+01
 7.1697865118199999e+01	 1.0868144511099999e+01
 7.4138331385599997e+01	 4.9173918979100002e+01
 3.2579020065999998e+01	 1.8081155966500000e+00
 5.9832185420000002e+01	 6.9152508144300000e+01
 3.5030628545700004e+01	 1.2536649341600000e+01
 7.4300119828400000e+01	 4.2477094592100002e+01
 6.3250197062799998e+01	 6.5952486196599992e+01
 3.4173073764800002e+01	 2.5693674309200002e+01
 4.0913831931899999e+01	 3.8559019550900004e+01
 6.2833293087399994e+01	 6.2510894226899993e+01
 4.2476792380300004e+01	 5.6731289969099997e+01
 5.2033456278700001e+01	 6.4566662029800000e+01
 4.8907042964399999e+01	 7.4287748825199998e+01
 5.9851838385400001e+01	 7.2958390967699998e+01
 4.8960460201600000e+01	 7.2629525727499995e+01
 4.6844855167299997e+01	 3.6791713691799998e+01
 3.9963021579600003e+01	 4.2944914848700002e+01
 6.6704943997000001e+01	 3.2015095429900001e+01
